pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
Prolactin signaling pathway	0	34	8	442	51	46	8	0	8	78	140	464	136	3004	0	10	3218	8	326	2042	110	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	18	0
Propanoate metabolism	194981.6	550434.18	479427.23	621829.42	593578.85	319869.92	238728.42	422025.32	476936.13	550503.21	351289.03	620818.06	416137.5	683717.33	530736.66	274344.3	659858.3	326781.45	537454.08	626846.42	450545.6	388195.46	72780.19	292386.88	110241.98	323868.78	136721.21	316990.98	539092.28	127164.9	153075.62	631697.16	157625.95	183150.75	229359.94	193528.64	176328.56	226748.91	127829.03	273161.14	76906.13	202689.92	66552.65	56056.37	86503.2	106388.62	213191.5	141505.45	130138.39	142476.79	9924.7	1476368.57	81283.14	99853.68	186273.57	425568.78	199457.5	83831.75	28347.36	39305.94	173129.02	33025.79	82980.08	628607.66	202611	545629.43	125859.33	77979.42	27308.95	65380.88	413536.18	120443.47	65053.54	141273.48	71348.83	72685.45	146218.66	141708.23	167285.88	69285.13	51749.78	88179.93	206956.76	27687.02	13291.39	431776.54
Prostate cancer	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteasome	19832	106972.23	192430.8	66793.1	42365.91	28928.42	82775.7	34441.29	43637.52	50868.22	42274.66	55938.72	50723.56	74605.76	60110.82	19580.61	58051.87	56636.65	85129.68	86575.95	90815.96	36733.59	38682.06	74189.37	37801.73	58661.88	10725.93	50801.06	62002.79	128571.98	6553.96	91204.31	17088.65	41696.5	41204.66	30498.05	34914.71	38142.89	135892.5	118920.58	27374.84	31911.33	40944.92	14207.31	19346.66	26109.63	55063.79	24968.85	28473.4	21473.97	5224.21	9720.27	75207.65	39281.45	164276.76	64577.97	14670.31	9520.31	11949.81	5413.65	71397.51	15825.83	57237.65	3600.1	102229.24	12557.07	25316.04	13241.9	4061.48	28713.4	4744.55	92913.23	4313.42	19169.88	47426.61	4773.11	67014.39	33897.92	158252.2	41696.45	2241.98	3931.23	124653.1	10203.94	876	5989.34
Protein digestion and absorption	0	375	0	736.65	550.38	25	0	15	157	375	268.65	159	191.33	10690	0	20	10005	56	1432	7140	726.67	145	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	99	0	0	2	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	490	0	0	25	0	0	90	0	0	0	35	0	0	35	0	0	0	45	0	0	0	0	0	0	0	0
Protein export	264796.25	638770.85	532641.16	712457.2	607892.35	469182.85	532388.17	604711.22	528495.11	594257.07	395331.32	661146.16	492355.03	705803.96	562062.72	421660.55	670381.59	386550.84	594719.77	702924.35	580185.95	410467.03	114168.86	274650.39	186890.42	360364.03	162783.15	367436.27	671843.31	146809.95	184829.6	639871.29	185478.28	195498.59	248970.71	207304.21	187680.31	213677.17	414184.85	436454.4	101303.16	236749.41	136241.66	66580.69	94077.32	110077.27	239856.26	153771.4	154967.39	141021.14	11407.71	1249074.76	152346.53	148436.36	519653.92	607616.19	395402.23	99320.19	40029.54	53227.68	278301.14	52690.67	177288.48	785996.43	372493.64	753714.32	178329.93	119075.23	34921.27	98301.51	519057.16	277073.98	84625.85	158333.6	126986.73	67670.6	244175.35	209336.67	466304.74	104361.57	45867.25	123661.89	253378.03	42669.51	13472.22	570338.38
Protein kinases	91267.25	938936.23	761807.77	1118649.78	1054089.61	551234.65	566811.12	854481.96	927385.85	954060.27	678281.92	1204318.63	823992.68	1049434.68	581624.04	530790.38	966388.09	589721.91	855073.28	1133333.51	781834.25	620345.24	208165.5	443368.33	297149.64	568145.66	56022.78	538081.32	906900.96	205979.23	231280.07	1014497.7	290793.9	315591.34	393670.96	317169.48	310428.33	350245.29	765447.8	857420.38	166823.64	347451.58	242786.9	114237.45	161809.39	188050.24	441981.21	241930.36	241772.91	222121.39	18960.33	1989171.13	264873.11	261118.22	942935.75	867252.8	182455.16	153838.38	77374.1	74980.29	505131.95	87104.58	320266.46	1408355.16	634909.56	369668	237563.88	163999.13	58087.41	170556.92	924299.64	511994.01	122894.2	253126.51	235921.27	112419.58	419090.24	318686.46	852359.57	184086.94	49888.34	68214.65	471711.77	65283.37	27598.52	722927.91
Protein phosphatases and associated proteins	0	820.5	12	968.33	775.66	61	0	671	365	2359.67	410.33	214.5	270	1096	144	540	1222	46.5	755.5	1224.5	527.5	201.5	0	0	0	21.34	32	0	0	0	0	0	0	24	0	0	0	314	78	0	0	7	0	15.66	0	2.25	114	0	6	0	0	1.34	8	11.34	2	0	0	0	1.34	0	172	0	0	2	4	0	10	1.34	26	0	0	0	14	109.66	0	10	0	0	1.34	0	0	1.34	2	0	0	0
Protein processing in endoplasmic reticulum	66375.69	325818.77	28647.89	453674.53	217139.38	302593.22	448105.71	261783.99	282599.41	319444.91	205268.09	426133.07	319358.61	560759.78	265908.39	222547.18	558648.09	167991.62	281186.87	434398.65	161209.44	181450.4	11088	143538.39	681.75	135725.49	4880.16	112135.59	104888.97	2432.25	6536.25	346008.78	34605	87996.18	108661.5	82684.35	71315.75	91186.19	4537.17	73611	20999.97	38018.61	4482	13025.91	35056.03	37599.72	85900.38	60858.9	43966.53	71915.4	649.86	723031.65	3655.53	12720.06	3532.5	5571.81	318309.84	12304.44	9978.03	2755.53	53948.97	4287.06	7607.25	3713.94	2882.97	133122.06	10302.5	11776.5	5375.88	9358.47	4344.03	14614.47	5317.56	50554.44	2220.03	32627.97	2623.5	3417.48	7675.2	18904.59	3609	4835.34	7837.59	3178.53	4209.03	5145.03
Proteoglycans in cancer	0	2.5	0	20	16.5	0	0	0	0	0	36	15	0	0	3.5	0	0	0	7.5	0	1.5	8	5.5	0	0	0	0	0	0	0	0	0	0	16	0	0	0	31	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proximal tubule bicarbonate reclamation	0	504	0	1031.31	161	35	0	35	217	469	359.31	267	266	14966	0	88	14007	56	2114	9996	1314	175	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	118	0	0	0.52	0	4	0	0	0	60	0	42	240	696	12	0	35	0	0	224	26	0	58	49	0	8	49	0	0	0	63	0	0	12	14	6	0	0	0
Purine metabolism	487059.08	1175522.74	979227.2	1337870.8	1234915.33	835758.57	781939.93	1065334.94	982221.95	1135664.01	753099.87	1296873.14	938507.7	1288944.48	936108.92	724900.24	1224613.92	809815.91	1147318.88	1296423.79	1062109.38	809673.59	222638.17	519785.02	330067	660659.64	288212.14	662140.72	1241391.23	270050.16	375677.96	1111354.68	340195.9	353478.09	442141.83	372846.42	348763	437520.7	615968.92	762357.91	194062.5	452815.19	234491.36	133882.13	179263.24	220363.29	479992.31	278511.18	287384.11	254651.36	23151.9	3453912.46	291106.72	293988.4	811627.75	1157342.68	776123.56	191322.7	76275.31	100006.67	509966.97	98698	304205.65	1343253.76	730363.21	1368557.33	336654.31	200676.67	69891.39	191679.71	886526.52	463362.62	158358.67	313886.86	250332.68	169224.29	470109.25	401890.27	750128.76	192241.89	80419.67	251316.73	605911.57	80263.83	29294.3	1074248.74
Pyrimidine metabolism	447069.12	901434.58	791380.06	963743.46	814709.12	664355.97	781132.23	840099.42	680778.8	804685.42	504218.89	868719.62	679928.65	942252.02	700618.95	579323.53	892114.42	514012.41	828241.41	930077.86	771962.45	559847.78	131045.98	419619.54	191124.11	486159.49	276822.38	477691.61	800871.32	193458.11	228215.17	930208.1	226954.95	279506.74	358879.12	286677.4	269081.61	327936.69	328715.82	502752.49	132781.91	302916.43	133496.95	90862.9	128461.39	159952.41	333881.45	213300.4	205026.21	208966.57	14499.14	1901835.07	181484.53	168823.68	439244.31	664491.59	641243.84	119954.84	48681.15	62391.25	303343.47	61807.98	172320.64	1095622.85	420726.57	1269480.16	204844.13	151389.98	43082.21	115584.84	722775.12	254987.21	102253.93	217698.24	143987.81	98103.91	268128.9	230817.58	411097.06	120325.35	60857.39	141961.65	364124.81	51821.54	17994.59	616087.35
Pyruvate metabolism	283808.99	1010579.08	634458.24	1085186.64	1024256.41	694529.02	657529.44	894144.63	891234.24	964239.94	646788.4	1096754.65	766763.32	1087376.14	1176177.62	589324.49	1037073.81	642421.31	964679.84	1139948.6	883152.38	696074.76	186287.61	449687.06	271237.74	554406.86	173899.14	576376.75	1213114.78	291037.93	320218.8	864141.66	326956.26	290239.98	341229.6	308979.38	293087.38	361428.71	504533.48	654372.48	154748.68	353397.54	190341.79	112079.8	151360.99	186205.82	398648.14	231350.46	236655.49	198600.45	20110.3	3845307.73	250501.44	262937.09	669632.68	1123219.9	452598.96	191738.79	64324.27	95937.41	442033.98	86494.59	254877.52	1795019.29	644266.91	874829.84	323739.6	173153.84	63045.5	161579.03	1176656.92	397750.95	160988.66	271962.51	205704.26	178622.23	408660.64	378018.35	616237.57	172865.07	70076.03	246459.8	546926.08	70880.04	28539.96	1107813.22
Quorum sensing	367339.74	1480268.84	1280315.5	1777973.69	1705383.66	931731.52	1081837.54	1369828.31	1242203.03	1473033.35	1056628.68	2131908.58	1427250.11	1642604.31	1081879.28	873185.57	1561678.66	1001493.44	1451262.51	1684776.17	1224059.53	1073266.32	185118.1	577040.89	440912.39	674647.03	211051.83	714080.53	1586241.13	531276.42	396129.27	1094424.87	362598.23	389669.6	467887.72	401212.9	410279.32	581428.29	875000.05	848402.97	198976.82	558114.76	271001.08	165027.74	209193.83	267457.55	588647	304983.87	305946.45	273287.17	23626.43	4110263.79	285601.87	303277.01	1074161.23	1367332.1	562455.25	242570.53	75386.64	127266.84	730314.42	102686.6	345556.16	1962286.17	802783.44	990812.35	371650.32	262449.62	94191.92	199502.76	1291399.99	518080.32	210945.43	411606.87	209443.56	211179.3	458313.22	443838.87	900185.77	179026.96	94286.87	224493.38	721459.58	89673.9	53180.38	1421218.43
Rap1 signaling pathway	0	12	0	21	0	0	0	0	144	117	0	0	39	0	0	0	18	0	21	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ras signaling pathway	0	142.34	0	362.6	301	18	30	58	190	440.86	372	1190	215.66	84	26	0	6	11.34	309.66	20	52	60	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	102	0	0	0	0	0	0	0	66	46	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regulation of actin cytoskeleton	0	14	2.5	0	25	0	0	0	0	24	0	28.33	3.67	0	0	0	0	0	80	0	116	29.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	16	0	0	0	0	10	0	0	0	12	0	0	4	0	140	0	0	0	76	0	0	14	0	0	0	0	0	0	0	0	0
Relaxin signaling pathway	0	10	0	0	9	0	0	0	0	10	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Renal cell carcinoma	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Renin-angiotensin system	21341.85	23349.58	5143.91	43985.11	60932.12	14219.91	2956.5	10250.57	49802.58	41581.42	28071.74	54778.96	44299.27	37062.96	72832.83	6162.39	34955.16	15649.37	34275.21	29279.75	30317.85	25282.45	1569	337.05	106	928.29	156	5244.19	2593.49	165.99	2628.5	1034	158	862.84	2580.5	838.33	2702.75	6534.51	501.91	671.01	552	974.76	288	964.81	2035	4236.99	5924	897.3	614	296.8	1226.5	692.82	502.75	2652.5	409.35	278.52	1877.68	659.27	1463.38	799.5	9221.42	405	770.76	267.84	208.24	41942.99	2280.98	2359.74	1243.26	1284.59	261.51	3267.25	1576	10108.34	402.23	1556.01	433.74	358.25	673.67	6113.25	596	769.5	19014.37	117.25	915.18	246.5
Renin secretion	0	12	0	21	0	0	0	0	144	117	0	0	39	0	0	0	18	0	21	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retinol metabolism	40022.56	71952.61	80451.23	74022.88	71979.94	42627.26	79092.35	89456.39	61164.47	64483.85	48144.33	79557.67	58214.04	58434.38	200626.03	56858.35	51874.73	73533.31	68986.47	62772.26	76343.84	50875.12	19894.23	51960.95	27385.93	62924.56	17977.65	54858.26	60529.41	13275.58	15107.94	125003.87	24781.33	33447.49	42998.25	34869.32	30511.11	34975.23	72925.61	55741.98	16611.07	36579.69	23783.8	9640.42	15489.34	15722.26	38572.09	25765.91	25110.73	26952.03	1713.02	246860.72	22714.54	23053.05	90929.24	60301.25	43243.12	13299.74	6235.63	5514.9	44886.39	7755.71	31067.28	230967.25	61943.76	132737.18	20372.1	13153.22	4394.17	15996.65	150747.58	47435.9	11634.34	26077.89	23158.15	12159.55	38394.58	25131.65	83068.94	13418.09	4084.48	10424.1	41365.15	5168.79	1904.17	38517.91
Retrograde endocannabinoid signaling	13	280.5	939	1481	562.5	1146	85.5	295	1865.5	1077	635	1263.67	605	2811.5	459	306.5	2572.5	3712.5	772	3380.5	2605.5	472	5638.51	1133.84	1100.17	4058.65	0.33	1862.33	12.17	165	33	1558.98	1071	1234.5	1181.34	884.67	949.66	119.83	86.5	173.83	2708.67	2235.82	2691.83	1240.35	1305.33	896.49	4293	342.19	2280.33	370.51	0	658.66	6359.5	5411.35	2691.49	9327.49	177.84	993	1124.17	344.49	4717.98	1441.33	3375.49	305.62	871.17	36.83	2247.67	702.51	376.01	3431.84	109.83	5518.99	344.5	999.85	6903.47	421.65	9436.16	4971	6455.84	2866.33	48.83	57.32	5520.34	856.98	33.33	287.83
Rheumatoid arthritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riboflavin metabolism	153525.58	281607.3	191145.12	331662.26	274950.5	212109.49	157309.61	219636.71	240461.92	263567.87	176823.92	308351.16	209818.4	307779.02	367901.85	157087.22	295536.83	170829.2	269672.37	301909.99	259574.8	190958.78	57166.43	166136.25	71545.12	202096.33	80697.41	203600.42	353138.19	88990.98	82318.25	377561.38	102249.64	111023.55	141657.17	116643.72	104651.99	114469.42	155787.3	193831.11	53438.51	102319.74	57435.96	34007.3	48977.53	56522.68	124399.08	85306.69	84773.02	81068.44	5011.01	742996.44	80307.39	74197.34	199793.41	303092.97	334304.44	53577.37	20174.6	25121.39	131030.01	26560.96	75414.79	240800.38	141466.5	449905.55	84121.34	44035.3	18237.17	48398.31	160603.33	120178.65	38608.57	81468.51	62576.74	38482.54	118088.95	103906.93	191779.12	49560.08	17280.3	59257.33	146115.68	22162.1	7282.85	285909.6
Ribosome	0	448	624	0	0	0	0	0	608	272	64	1386.56	544	0	64	32	0	80	329	64	53.44	256	0	0	0	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	32	928	2928	0	0	0	0	0	0	0	0	0	0	6	0
Ribosome biogenesis	786796	2016635.39	1725460.07	2015749.12	1820852.45	1439240.53	2107245.6	2079462.06	1443148.6	1752045.03	1108054.72	1764278.87	1456177.23	1998331.78	1461177.6	1455865.54	1883956.67	1154300.12	1846784.72	2037783.09	1794948.68	1255299.35	231300.86	717675.8	543936.38	885824.23	494223.44	937544.52	1745425.35	496915.98	570820.35	1608118.82	509528.9	492880.38	635574.72	524086.49	496003.24	612005.09	905286.61	966771.34	243067.19	758797.34	316589.18	173632.94	233905.88	307910.05	610557.22	405828.77	378417.37	363062.01	28960.13	5106070.39	341117.76	328911.07	1177300.73	1485019.35	1193775.56	274587.37	93016.19	150131.94	635316.67	123199.76	395958.59	3568275.71	931381.08	2383513.69	497427.76	387562.97	93124	226613.1	2344127.37	556901.83	254711.35	449543.85	257043.92	240558.29	537705.64	493881.46	990651.62	233178.12	140657.12	427132.74	735499.04	106193.63	38445.67	1483528.44
Ribosome biogenesis in eukaryotes	0	1063	213.3	4854.17	2463.93	159.84	60	346	2648.07	3727.61	2959.68	3582.33	4065.01	3113	1658.83	780.17	3125.5	1088.17	3036.86	2443.41	1473.84	3085.88	12.25	66.92	1	600.84	0	33.67	130.5	39	38.25	101	4	133	8.5	0	89.25	513.25	57.5	0	20	16.67	19	33.33	91	388.5	697	0	44	17	2.84	80148.17	66	152.67	150	232	50.5	88.67	108.67	154	714.83	28	123	121	119.5	193	215	32.67	79	73.5	88	76	64	390.33	30	2834	54	77	77.67	39.67	107	231.67	438.75	31	37	260.75
RNA degradation	140755.33	511803.11	397794.86	516185.73	506986	328331.82	565208.48	479586.53	399918.65	459616.92	296071.1	505307.3	400690.88	519082.52	549235.45	335393.23	484768.74	299311.15	466572.14	500699.28	395605.21	313780.5	56480.97	205265.28	177611.13	265697.69	86260.83	283675.21	569120.76	103202.81	160888.67	493669.67	157265.31	147727.15	185812.85	159721.67	142400.69	169591.73	240339.09	261657.58	63652.7	258521.89	88095.96	45657.78	65579.66	80161.2	161891.27	115609.57	110120.61	108218.26	7183.91	1154511.05	81412.74	85928.14	321332.77	461568.39	200401.91	81577.72	22749.56	41124.91	164494.86	32622.58	104311.55	704325.72	272648.35	409458.47	121634.94	82901.65	25541.25	54779.82	464499.82	136936.71	68037.82	108980.12	58527.42	56447.92	142143.64	145260.73	248940.87	56596.77	28393.29	78260.33	159825.52	29243.04	11469.71	496944.5
RNA polymerase	79400.94	209563.16	194872.98	208029.58	186333.54	142470.1	255939.33	219416.66	150032.87	173359.7	113557.26	185490.88	154082.46	202948.32	176803.85	155151.83	188254.72	122876.66	186530.03	207101.34	184055.11	120472	29561.29	81756.8	69964.61	107307.58	51387.46	113537.03	211457.39	52139.57	62300.36	198150.03	60906.32	59524.1	76551.67	63207.92	57526.71	63235.71	117532.14	122541.14	28915.24	95992.23	40922.02	19176.38	27344.6	31880.86	68131.62	47133.52	45997.98	42870.07	3530.19	335363.4	43107.58	40301.68	153214.18	181699.5	117652.21	31746.82	11147.15	17028.32	74274.28	15242.35	50676.18	388036.3	120178.01	248596.8	53710.15	42506.68	10469.65	27373.15	255120.69	71863.32	28976.36	47562.42	32738.7	18470.78	67675.32	60626.26	128304.77	29387	12381.64	33959.66	63372.74	12904.21	4102.68	179068.36
Salivary secretion	0	220	0	448.99	123	15	0	9	141	240	153.99	75	127	6414	0	12	6009	24	859	4284	474	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	294	0	0	15	0	0	54	0	0	0	21	0	0	21	0	0	0	27	0	0	0	0	0	0	0	0
Salmonella infection	55615.88	194817.96	117704.59	190057.34	183807.88	140055	141390.52	160748.36	130080.92	167718.45	110119.72	188623.25	143893.48	204906.18	136640	110269.56	194881.18	116795.09	170104.45	202826.56	147062.77	114362.04	28388.69	71443.56	42790.36	88765.83	33973.12	79708.18	112336.32	33983.82	27993.22	172750.39	37115.32	52714.54	63548.94	51940.02	51278.15	65631	103330.52	109486.32	25099.98	58341.76	33637.42	17299.26	25650.46	31725.29	65873.58	40146.18	36093.88	41172.44	2857.2	249433.52	36016.99	33399.38	126560.68	97719.3	81081.05	18374.66	10038.84	8982.14	68992.76	11467.45	43424.72	157112.94	88466.3	148140.74	31738.88	22940.06	7149.5	24107.17	103464.14	66935.82	14435.11	39338.65	31232.04	14966.87	53739.82	37975.94	113721.2	24214.16	9729.98	17595.9	43928.32	7898.78	3543.18	73666.1
Secondary bile acid biosynthesis	10513.6	66568.84	47216.73	58132.94	64708.17	48879.39	65460.62	75836.64	44855.82	55992.73	32349.83	48233.85	42441.21	57017.44	41779.98	53295.9	53220.24	35558.44	57797.32	66977.04	47879.79	41102.9	869.9	7669.94	2292.51	14250.39	3546.98	21614.33	69812.66	3061.5	23676.38	16098.72	8887	8000.04	13113.34	10500.52	11463.43	17135.24	2493.05	5927.99	4709.66	2294.07	532.38	4935.05	4293.96	8446.16	13094.78	6692.65	7863.05	5646	1109.32	163613.33	6457.1	5509.46	2247.77	55270.92	36379.31	6004.66	1638.21	5072.68	10576.77	2686.43	1319.75	77576.13	3227.14	38757.02	12788.55	8371.57	3460.36	2862.34	51493.49	3331.35	8283.26	11495.52	1108.16	7205.94	7527.76	14643.6	3360.87	4688.16	5337.66	8675.8	11326.41	3649.34	1140.51	69349.61
Secretion system	416316.07	1457837.35	1140169.58	1790497.44	1823345.53	845083.63	1262040.44	1347944.82	1360949.38	1554714.53	1046215.75	1691702.96	1235466.07	1947966.87	2722201.98	907655.26	1899618.85	848588.13	1585821.84	1754157.07	1272842.9	1250206.7	147411.14	543666.18	317219.45	637156.4	238180.2	657044.5	1506719.91	301182.27	471317.34	973053.42	300960.61	321300.82	406097.21	360437	339229.82	470782.06	559761.58	605186.45	168041.4	420544.89	190017.13	125148.7	161636.87	242565.31	445913.49	259622.53	265294.88	229350.1	18205.66	7472756.41	211968.15	261266.44	719134.39	1276761.9	511572.42	190377.65	68850.5	124513.19	559365.17	86973.96	249392.61	1657515.58	563456.64	1112249.82	362121.01	242109.77	92409.46	168914.1	1094663.64	374004.45	196231.12	416686.52	158536.02	324820.54	375468.38	404075.74	608144.54	144390.34	156241.21	286947.85	747449.59	77837.04	39540.95	1387829.96
Selenocompound metabolism	48217.23	167082.84	196164.34	263850.71	255165.71	89080.35	53343.22	137308.23	209228.96	223227.01	159082.94	318444.51	201098.07	255990.29	367152.16	86341.56	241160.18	149458.83	206587.78	223216.57	187698.77	144763.9	51541.78	66428.98	59253.87	90075.63	33601.97	97628.45	217247.01	26086.81	80623.8	97924.48	62844.31	42455.45	47732.67	44798.26	43008.89	68552.48	109171.64	158746.09	35288.65	69271.41	47045.4	25106.51	28026.38	40059.57	86262.02	34121.13	44780.77	24196.84	4834.28	578678.92	65116.4	67890.63	150770.87	244681.81	51433.68	42296.86	16124.79	20511.23	114233.42	20484.84	61607.66	238204.98	151474.32	152927.85	73093.09	37425.69	15191.14	44732.41	156844.09	97440.99	32029.64	65897.41	60580.06	31213.88	107946.28	87864.21	148417.66	41033.07	6679.63	57871.27	157305.17	15831.44	7133.53	214607.73
Serotonergic synapse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sesquiterpenoid and triterpenoid biosynthesis	331.5	6937.34	891.39	9679.26	15400.85	402.5	5.99	2173.68	8586.23	7165.62	5310.92	13254.96	4209.15	11583.53	40830.85	311.99	10378.68	2566.17	6950.04	10162.42	1738.03	3208.26	7	9	0	24	0	0	192.5	0	14	40.49	0	150.51	87	5.01	70	579.5	22	3.99	1	15.66	11.01	194	179	543.99	1105.5	3.99	20	7	11.76	109	116.25	765	7	16	314.76	29	166.36	96	2195.5	84	47	129	0	37	79	56	557.5	425.25	89	146	21	3750.75	0	458.75	99	100	3	10	256	128.5	61	44	431.84	44
Shigellosis	1905.25	16536.57	5682.18	30137.5	45239.94	3245.2	5325.65	7212.8	18791.2	24971.61	20888.82	44542.89	26810.66	32454.24	48262.69	4059.01	32646	14774.55	22478.79	23593.58	10608.8	19879.24	187.75	12393.17	94	2801.19	211.4	605.35	3093.31	75	88	475.49	33	1708.26	1338.66	1072.88	1995.75	10561.5	1006.29	320.31	1117.06	559.4	63.9	1800.69	1361.69	4744.82	6852.22	1105.1	704.69	955.26	60.57	241208.18	676.44	2282	749.64	960.3	1602.11	1445.8	440.29	577.69	10097.73	315.33	637.68	892.32	712.83	1770.08	2187.32	696.94	1676.06	1726.76	615.68	822.31	692.94	10228.95	207.83	10071.58	350.66	585.38	393.56	240.01	3267	6422.62	27582.51	215.19	1299.17	1437.05
Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	60	44	0	48	64	0	0	0	0	40	75.5	0	12	60	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	12	0	12	0	0	24	196	0	0	0	0	8	0	0	60	0	0	0	0	0	0	68	0	12	0	0	0	0	0	0	0	0
Small cell lung cancer	1134.5	12449.42	1949.73	26361.74	40379.7	2037	4278	5232.5	14110.1	19645.91	17868.32	41787.39	25315.86	29921.74	46098	2119.41	29812	12453.85	17738.01	21117.5	7243.07	14748.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
